City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Fort Saint James,CA,54.4333,-124.25,38.46,72,82,8.81,broken clouds
289,Talnakh,RU,69.4865,88.3972,-17.68,100,95,3.58,overcast clouds
290,Kindu,CD,-2.95,25.95,71.56,91,65,2.77,light rain
291,Vendome,FR,47.8,1.0667,44.29,69,45,9.08,scattered clouds
292,Roald,NO,62.5833,6.1333,39.34,81,75,16.11,light intensity drizzle
293,Tautira,PF,-17.7333,-149.15,82.42,73,27,17.25,scattered clouds
294,Iqaluit,CA,63.7506,-68.5145,-29.18,96,100,2.44,overcast clouds
295,Manacapuru,BR,-3.2997,-60.6206,84.78,80,86,3.56,overcast clouds
296,Terrace Bay,CA,48.7834,-87.1,8.22,76,100,7.63,overcast clouds
297,Ponta Delgada,PT,37.7333,-25.6667,65.5,77,20,14.97,few clouds
298,Malayal,PH,7.208,121.942,75.0,81,100,5.08,overcast clouds
299,Tocopilla,CL,-22.092,-70.1979,73.51,66,11,9.44,few clouds
300,Esna,EG,25.2934,32.554,56.19,40,0,13.33,clear sky
301,Rawson,AR,-43.3002,-65.1023,63.03,44,0,11.86,clear sky
302,Ahipara,NZ,-35.1667,173.1667,71.15,98,99,6.2,overcast clouds
303,Islampur,IN,26.2667,88.2,54.1,88,0,3.74,clear sky
304,Berlevag,NO,70.8578,29.0864,23.54,84,99,25.01,overcast clouds
305,Destin,US,30.3935,-86.4958,50.23,47,0,12.66,clear sky
306,Vostok,RU,46.4856,135.8833,-10.44,99,100,3.04,overcast clouds
307,Saint-Joseph,RE,-21.3667,55.6167,80.98,82,100,17.96,light rain
308,Itarema,BR,-2.9248,-39.9167,84.47,66,92,14.83,overcast clouds
309,Lufilufi,WS,-13.8745,-171.5986,76.78,79,100,16.51,light rain
310,Quesnel,CA,52.9999,-122.5029,28.9,93,100,3.44,mist
311,Pangnirtung,CA,66.1451,-65.7125,-23.8,69,40,0.0,scattered clouds
312,Chuguyevka,RU,44.1653,133.8633,-6.63,100,100,1.34,overcast clouds
313,Falam,MM,22.9167,93.6833,44.83,96,66,4.36,broken clouds
314,Ciro Marina,IT,39.3732,17.126,55.42,67,100,5.12,overcast clouds
315,Harper,LR,4.375,-7.7169,82.09,74,62,8.79,broken clouds
316,Awbari,LY,26.5921,12.7805,57.9,25,1,9.55,clear sky
317,Olenino,RU,56.2092,33.4889,18.37,95,100,10.07,light snow
318,Vanavara,RU,60.34,102.2797,15.87,96,100,5.61,light snow
319,Sioux Lookout,CA,50.1001,-91.917,5.38,78,100,8.05,overcast clouds
320,Praya,CV,14.9215,-23.5087,79.34,41,0,17.27,clear sky
321,Naryan-Mar,RU,67.6713,53.087,-6.86,98,67,9.91,broken clouds
322,San Cristobal,VE,7.7669,-72.225,75.38,57,79,0.49,broken clouds
323,Niscemi,IT,37.1486,14.3913,55.26,94,0,5.75,clear sky
